Code,Year,Total Assets,Net Assets,Shareholders' Equity,Retained Earnings,Short-Term Loans,Long-Term Loans,BPS,Equity Ratio,Sales,Operating Profit,Ordinary Profit,Net Profit,EPS,ROE,ROA
6466,2022/09,12974225000,9308939000,8975378000,5784233000,450000000,66651000,3988.26,71.7,8514291000,-86986000,27781000,-60488000,-26.2,-,-
6467,2022/03,15327365000,11439554000,9983216000,7361675000,430000000,544509000,1144.98,67.6,12301330000,217232000,264889000,-619352000,-68.43,-,-
6469,2022/02,15547418000,6256726000,5781434000,4224628000,2083803000,2352969000,774.37,36.1,12976641000,634256000,607196000,1413327000,195.15,25.2,9.09
6470,2022/03,114379000000,66305000000,62656000000,45963000000,319000000,21198000000,2262.21,57.4,98820000000,1108000000,1650000000,621000000,21.4,0.95,0.54
6471,2022/03,1234551000000,637460000000,617800000000,410872000000,-,-,1204.63,50,865166000000,29430000000,-,16587000000,32.35,2.68,1.34
6472,2022/03,855483000000,216425000000,181578000000,60127000000,134229000000,179802000000,372.69,23.1,642023000000,6880000000,6815000000,7341000000,13.83,3.71,0.86
6473,2022/03,1386463000000,660415000000,624012000000,443960000000,85749000000,176012000000,1819.47,45,1428426000000,36401000000,-,20682000000,60.3,3.31,1.49
6474,2022/11,357457000000,156367000000,128349000000,106758000000,18152000000,53703000000,6330.09,41.7,258097000000,17025000000,17100000000,12237000000,513.14,8.22,3.42
6479,2022/03,1104192000000,541435000000,538610000000,320755000000,164866000000,105845000000,1326.15,48.8,1124140000000,92136000000,-,68935000000,170.08,12.8,6.24
6480,2022/03,107078000000,63974000000,59276000000,37881000000,2200000000,6928000000,898.55,59.6,62284000000,5898000000,7488000000,4134000000,58.26,6.48,3.86
6481,2022/12,560304000000,337281000000,331887000000,245941000000,22961000000,97917000000,2707.5,59.2,393687000000,34460000000,-,21198000000,172.67,6.39,3.78
6482,2022/03,36892986000,31047712000,29866827000,27212010000,-,-,904.77,83.5,20874646000,2890835000,3085275000,2112238000,62.06,6.86,5.73
6484,2022/03,32326945000,23274487000,22830950000,17657246000,-,-,2933.01,72,27960301000,2439726000,2440210000,1689505000,209.61,7.26,5.23
6485,2022/03,45619000000,37630000000,35953000000,29649000000,-,-,1695.44,82.5,28789000000,2139000000,2287000000,1498000000,67.21,3.98,3.28
6486,2022/03,180955000000,103094000000,93057000000,71483000000,2353000000,17732000000,1920.31,52.1,140842000000,7560000000,10811000000,5713000000,116.32,6.06,3.16
6488,2022/03,15313167000,13186611000,12552170000,8440367000,-,-,1027.14,85.6,7091242000,910001000,1352521000,967266000,75.78,7.38,6.32
6489,2022/05,35626000000,21977000000,21438000000,12686000000,-,1333000000,1212.15,61.7,30903000000,3038000000,3164000000,2142000000,117.53,9.75,6.01
6490,2022/03,64991000000,52658000000,49739000000,41137000000,250000000,100000000,2227.13,81,40670000000,11392000000,11821000000,8285000000,350.46,15.73,12.75
6492,2022/11,12395000000,9456000000,9326000000,7883000000,-,1148000000,5715.97,76.3,6887000000,488000000,562000000,483000000,290.53,5.11,3.9
6493,2022/03,54751061000,31421964000,22529017000,13554006000,5000493000,5588681000,830.41,43.7,38669892000,1963707000,2106204000,644637000,22.39,2.69,1.18
6494,2022/03,4584124000,3704477000,3253953000,346655000,15000000,240000000,97.71,80.8,1945994000,89013000,149932000,127866000,3.37,3.45,2.79
6495,2022/03,8175469000,3880798000,2107851000,235066000,1180400000,641330000,80.8,47.5,5386058000,72536000,58600000,40679000,0.85,1.05,0.5
6496,2022/05,27846345000,22455589000,21773030000,19860547000,800000000,-,6288.08,80.6,17157849000,537677000,808855000,556523000,155.84,2.48,2
6497,2022/12,19788749000,14289305000,13421003000,13100135000,-,-,2141.54,72.2,11195267000,1096858000,1241492000,949226000,142.26,6.64,4.8
6498,2022/12,152569000000,91042000000,84387000000,57911000000,856000000,3361000000,1002.68,59,159914000000,11051000000,12045000000,8549000000,95.35,9.51,5.6
6501,2022/03,13887502000000,5355277000000,4341836000000,3197725000000,1234119000000,-,897.78,31.3,10264602000000,738236000000,-,583470000000,120.75,13.44,4.2
6502,2022/03,3734519000000,1366664000000,1206634000000,-,-,-,2788.95,32.3,3336967000000,158945000000,-,194651000000,442.04,16.13,5.21
6503,2022/03,5107973000000,3097397000000,2975941000000,2464966000000,-,-,1409.08,58.3,4476758000000,252051000000,-,203482000000,95.41,6.84,3.98
6504,2022/03,1117112000000,523729000000,405467000000,319285000000,44984000000,66276000000,3310.79,42.3,910226000000,74835000000,79297000000,58660000000,410.68,12.4,5.25
6505,2022/05,46916000000,22012000000,18016000000,11122000000,585000000,11173000000,2462.08,46.9,30158000000,171000000,766000000,-930000000,-104.02,-,-
6506,2022/02,559038000000,298100000000,291234000000,232547000000,20497000000,36376000000,1114.08,52.1,479082000000,52860000000,-,38354000000,146.72,13.17,6.86
6507,2022/03,116801000000,54090000000,42209000000,33562000000,7170000000,11278000000,1918.89,46.3,94585000000,7514000000,7898000000,5593000000,194.96,10.34,4.79
6508,2022/03,290899000000,105421000000,92196000000,64844000000,10255000000,25210000000,2247.47,35.1,255046000000,9468000000,10206000000,6733000000,148.4,6.6,2.31
6513,2022/03,46123972000,26399636000,21061944000,12350877000,-,418096000,3844.09,51.7,32347506000,2128847000,2831832000,2180727000,351.35,9.14,4.73
6516,2022/03,128667000000,80655000000,80645000000,57198000000,12862000000,5984000000,6663.78,62.7,101123000000,10971000000,-,9015000000,744.89,11.18,7.01
6517,2022/03,80774000000,63760000000,57645000000,56500000000,210000000,856000000,2963.91,76,55168000000,3653000000,4029000000,2753000000,132.02,4.48,3.41
6518,2022/03,17679592000,10369010000,9927669000,7265138000,370600000,486743000,2293.65,58.6,17098746000,806480000,939586000,884318000,195.82,8.53,5
6521,2022/02,8710998000,4587430000,4587430000,739554000,-,2157857000,467.83,52.7,4756708000,596784000,598991000,495740000,52.53,10.81,5.69
6522,2022/08,2519553000,2072219000,2070458000,501633000,-,-,293.71,82.2,2407387000,400204000,473724000,322542000,46.82,15.57,12.8
6523,2022/03,591320000000,136065000000,135374000000,28353000000,27251000000,280685000000,1092.32,22.9,340452000000,8174000000,-,-8460000000,-70.78,-,-
6524,2022/12,24285000000,18296000000,17221000000,11223000000,441000000,726000000,677.85,75.3,15673000000,3884000000,4443000000,3066000000,115.35,16.76,12.63
6525,2022/03,356532000000,119519000000,119519000000,79242000000,4500000000,117500000000,518.75,33.5,245425000000,70652000000,-,51339000000,222.83,42.95,14.4
6526,2022/03,118428000000,89609000000,89267000000,28867000000,-,-,148.34,75.7,117009000000,8463000000,9050000000,7480000000,12.38,8.35,6.32
6532,2022/02,58136000000,41701000000,35533000000,35228000000,1050000000,3390000000,228.64,71.7,57642000000,21518000000,-,15544000000,100.02,43.75,26.74
6533,2022/12,11410073000,5735178000,4781087000,2890970000,388000000,1023090000,528.39,45.4,10377898000,1350909000,1400134000,853709000,87.12,16.47,7.48
6535,2022/07,18193000000,13406000000,13303000000,13432000000,-,-,220.88,73.3,13933000000,3793000000,3839000000,2678000000,41.67,20.08,14.72
6537,2022/12,4282000000,1788000000,1688000000,-234000000,450000000,335000000,247.35,40,1921000000,-54000000,61000000,11000000,1.59,0.64,0.26
6538,2022/03,5153000000,3632000000,3632000000,2998000000,-,530000000,175.48,70.5,3058000000,1002000000,1001000000,585000000,28.33,16.11,11.35
6539,2022/03,10412920000,9596951000,9301756000,7483610000,-,-,383.34,92,3758864000,1576145000,1541188000,1032903000,41.34,10.78,9.92
6540,2022/12,17348934000,11225688000,10892010000,9271979000,-,-,1092.02,64.7,22810459000,776153000,736915000,451536000,44,4.02,2.6
6541,2022/03,4799947000,1863857000,1761532000,1007367000,200000000,-,65.63,38.8,3285477000,579949000,654668000,108109000,3.81,5.8,2.25
6542,2022/06,8934314000,6039741000,6078595000,4989062000,-,650000000,962.71,67.6,8546976000,1155806000,1161139000,780104000,124.91,12.92,8.73
6543,2022/02,4321557000,2940547000,2940075000,2513515000,-,412450000,793.83,68,4837302000,323794000,373925000,253798000,68.14,8.63,5.87
6544,2022/03,25338796000,11756098000,11785885000,6678340000,2198784000,3288183000,131.42,46,29751566000,4113091000,4225914000,2726613000,30.73,23.38,10.76
6545,2022/03,2829307000,1245297000,1245297000,798308000,300000000,343782000,231.64,44,4168077000,156055000,289674000,186218000,34.67,14.95,6.58
6546,2022/12,10843152000,6153076000,6066531000,5447595000,27992000,43356000,1146.33,56.7,11937385000,70365000,161288000,94051000,17.52,1.53,0.87
6547,2022/06,25932000000,1347000000,1354078000,-2170244000,9600000000,7158337000,104.62,5.2,25437000000,-2157868000,-2021000000,-2178000000,-169.15,-,-
6548,2022/03,3667105000,-1021901000,-1073476000,-3107079000,3300000000,500000000,-177.41,-28.7,1037201000,-1456999000,-1338417000,-1971051000,-347.82,-,-
6549,2022/03,5192989000,2162829000,2090101000,1529006000,100000000,872428000,754.62,40.2,16682982000,98871000,101579000,5495000,1.98,0.26,0.11
6550,2022/03,2874201000,1931908000,1920819000,-3900777000,-,560000000,147.34,66.4,1453943000,-1216308000,-1197682000,-2510259000,-195.79,-,-
6551,2022/09,5209449000,1536524000,1433758000,132336000,308944000,1065021000,167.88,27.5,12721982000,215532000,213086000,491663000,57.7,34.29,9.44
6552,2022/05,4882000000,3274520000,3269401000,2368059000,-,598022000,181.27,67.1,3120000000,200386000,223000000,118000000,6.54,3.6,2.42
6554,2022/09,4670000000,3055000000,3033000000,2074000000,-,-,342.39,65,10465000000,731000000,806000000,316000000,35.76,10.42,6.77
6555,2022/02,3901270000,2866430000,2894567000,948930000,166656000,69472000,667.44,74.2,1933945000,316628000,-,206510000,46.93,7.13,5.29
6556,2022/03,11244050000,5998817000,5988434000,5317326000,-,3380998000,208.02,53.3,9894487000,2527010000,2659312000,1828748000,63.74,30.54,16.26
6557,2022/03,12066403000,1590062000,1564440000,318935000,-,7582824000,284.59,12.9,11975131000,-440016000,461294000,116616000,21.49,7.49,0.97
6558,2022/11,2807197000,1204503000,1187321000,-293734000,580000000,576620000,434.01,42.3,1502079000,173155000,168584000,161893000,60.9,-,-
6560,2022/12,5595724000,3249408000,3217278000,1510195000,-,408760000,715.88,57.5,9637207000,501426000,489557000,232584000,55.35,7.23,4.16
6561,2022/12,8919038000,647645000,619056000,-2665414000,1423943000,828152000,49.7,7,2012653000,-1393152000,-1402035000,-657396000,-52.36,-,-
6562,2022/03,7659487000,2884225000,2841894000,430379000,1218425000,888886000,162.79,37.1,14399385000,588195000,746331000,500637000,27.87,17.36,6.54
6563,2022/09,2187693000,936930000,936930000,592003000,-,-,187.38,42.8,6352796000,112526000,126679000,39252000,7.8,4.19,1.79
6564,2022/03,20040161000,9536390000,9529807000,4545900000,4883500000,1955519000,345.62,47.6,6381147000,2264866000,2188644000,1284751000,47.98,13.48,6.41
6565,2022/03,20441048000,6540744000,6540744000,4200109000,-,6863444000,461.41,32,6345315000,959135000,937638000,567682000,40.05,8.68,2.78
6566,2022/03,21452951000,16441117000,16255347000,14027309000,165992000,858151000,1035.9,76.6,11934658000,1287541000,1306638000,873000000,55,5.31,4.07
6567,2022/05,4627539000,2062190000,2062190000,703946000,-,912272000,326.26,44.6,9130846000,233795000,272202000,173532000,27.47,8.41,3.75
