コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1897,2024/12,21844000000,18819000000,15773000000,17526000000,-,-,8564.92,84.5,9743000000,273000000,479000000,321000000,148.91,1.74,1.47
1898,2024/03,76042000000,40533000000,39541000000,37816000000,106000000,6700000000,1111.45,53.3,88037000000,4091000000,4078000000,2740000000,75.15,6.76,3.6
1899,2024/12,142814000000,85407000000,82898000000,75080000000,730000000,473000000,10227.95,59.3,166589000000,7665000000,7957000000,5309000000,641.56,6.27,3.72
189A,2024/05,8792346000,1271588000,1271588000,994718000,6426389000,495102000,828.94,14.5,1189515000,281044000,274485000,177372000,115.63,13.95,2.02
1904,2024/03,45770852000,25714576000,23534911000,16566231000,-,-,4359.43,56.2,61056247000,3014734000,3085761000,1962905000,335.66,7.64,4.29
1905,2024/03,19066990000,12689604000,12196248000,8685750000,-,-,1876.87,64.5,20207106000,520935000,557777000,388057000,59.29,3.15,2.04
1909,2024/03,54029246000,27048209000,21058155000,18223746000,4020925000,1163504000,3320.32,41.2,55878150000,4775095000,5180276000,3287384000,481.54,14.77,6.08
190A,2024/08,4632370000,4161297000,4158362000,-5721780000,-,-,61.44,89.8,-,-1801396000,-1824707000,-1827127000,-31.11,-,-
1911,2024/12,2261128000000,1020127000000,701012000000,613765000000,93702000000,413856000000,4497.17,40.7,2053650000000,194588000000,197955000000,116528000000,569.41,12.66,5.15
1914,2024/03,32839000000,21940616000,20519597000,13533892000,3100000000,-,1094.88,66.8,23575000000,1012147000,1401000000,932000000,46.53,4.25,2.84
1921,2024/03,76310000000,51395000000,39307318000,34604438000,7473500000,3751000000,1273.7,67.4,33342000000,3178237000,3817000000,2782000000,69.32,5.41,3.65
1925,2024/03,6533721000000,2523762000000,2278281000000,1903326000000,122253000000,988909000000,3810.21,37.3,5202919000000,440210000000,427548000000,298752000000,457.16,12.25,4.57
1926,2024/03,124447000000,91094000000,86483000000,78867000000,1438000000,62000000,1877.44,72.5,117324000000,11245000000,11609000000,8181000000,168.16,9.07,6.57
1928,2024/01,3352798000000,1794052000000,1554276000000,1132275000000,440075000000,239089000000,2707.9,52.3,3107242000000,270956000000,268248000000,202325000000,309.29,11.53,6.03
1929,2024/03,54425000000,34037000000,32850000000,25024000000,-,-,811.37,62.2,71880000000,4356000000,4397000000,3066000000,73.49,9.06,5.63
192A,2024/05,2121041000,1362359000,1362359000,1262359000,-,-,681.18,64.2,2197835000,983874000,983497000,672348000,336.17,49.35,31.7
1930,2024/03,62749000000,41865000000,41524000000,36099000000,176000000,143000000,1495.73,66.7,53398000000,3425000000,3645000000,2209000000,78.92,5.28,3.52
1934,2024/03,231479000000,142406000000,139648000000,124259000000,2431000000,4490000000,1986.44,61.5,243171000000,10523000000,11885000000,7510000000,104.83,5.28,3.24
1938,2024/03,87315663000,59775898000,56988715000,53121873000,500000000,-,2415.07,68.5,58542686000,3432664000,3910194000,2770289000,111.37,4.63,3.17
1939,2024/03,103205000000,61796000000,58784000000,51724000000,420000000,6536000000,1307.17,59.8,92112000000,6444000000,7012000000,4571000000,96.69,7.4,4.43
1941,2024/03,280542000000,213921000000,193377000000,197818000000,-,-,3893.06,75.2,201025000000,11947000000,12742000000,7937000000,145.36,3.76,2.83
1942,2024/03,567275000000,345800000000,310313000000,294174000000,16668000000,5185000000,1633.95,58.9,598427000000,40934000000,42648000000,27345000000,133.8,8.19,4.82
1944,2024/03,815887000000,574053000000,506264000000,453615000000,15020000000,-,2848.1,70.3,654516000000,42677000000,45982000000,33553000000,165.34,5.85,4.11
1945,2024/03,107471000000,68548000000,64736000000,59214000000,992000000,5952000000,2047.25,63.8,88467000000,3959000000,5212000000,2960000000,86.69,4.32,2.75
1946,2024/03,304931000000,131140000000,117609000000,104598000000,12082000000,21299000000,1402.14,43,252863000000,15910000000,12679000000,9345000000,99.96,7.13,3.06
1948,2024/03,32424000000,20455000000,18849000000,16335000000,560000000,-,2299.68,62.8,34868000000,1156000000,1292000000,899000000,101.5,4.42,2.77
1949,2024/03,181664000000,110932000000,92610000000,80459000000,1540000000,836000000,2988.24,58.3,185524000000,12548000000,13502000000,10060000000,284.07,9.51,5.54
194A,2024/06,5784472000,2113630000,2113630000,-323077000,100000000,2423347000,282.8,36.5,4990639000,827469000,800898000,558406000,75.2,26.42,9.65
